month,day,hour,GHI,solar_zenith_angle,clearsky_GHI,temperature,relative_humidity
1,21,7,8,79.74,130,25.6,97.73
1,21,8,28,72.73,249,25.700000000000003,98.26
1,21,8,45,65.73,373,25.8,97.68
1,21,9,169,58.76,493,26.0,96.98
1,21,9,265,51.85,607,26.1,96.41
1,21,10,437,45.05,711,26.200000000000003,94.44
1,21,10,504,38.42,802,26.5,92.79
1,21,11,689,32.07,878,26.700000000000003,89.47
1,21,11,733,26.24,938,27.0,87.83
1,21,12,772,21.33,979,27.200000000000003,84.57000000000001
1,21,12,744,18.13,1002,27.3,84.08
1,21,13,617,17.6,1005,27.5,81.96000000000001
1,21,13,747,19.95,989,27.5,81.96000000000001
1,21,14,771,24.36,955,27.6,81.09
1,21,14,736,29.93,902,27.5,81.56
1,21,15,686,36.13,809,27.5,81.77
1,21,15,607,42.67,724,27.4,82.17
1,21,16,479,49.43,626,27.3,83.46000000000001
1,21,16,451,56.3,516,27.200000000000003,83.95
1,21,17,326,63.26,399,27.0,86.25
1,21,17,248,70.26,277,26.8,87.26
1,21,18,93,77.28,160,26.5,90.32
1,21,18,56,84.26,56,26.3,91.39
1,22,6,0,101.03,0,24.9,97.53
1,22,6,0,94.0,0,25.1,96.38
1,22,7,6,86.73,31,25.3,95.87
1,22,7,23,79.8,126,25.6,94.19
1,22,8,18,72.78,245,25.9,92.21
1,22,8,197,65.77,368,26.1,91.13
1,22,9,490,58.78,490,26.4,88.41
1,22,9,475,51.86,604,26.6,87.38
1,22,10,454,45.04,710,26.9,85.85000000000001
1,22,10,354,38.39,801,27.200000000000003,84.35000000000001
1,22,11,573,32.02,878,27.6,81.85000000000001
1,22,11,513,26.15,938,27.9,80.44
1,22,12,446,21.19,980,28.200000000000003,79.10000000000001
1,22,12,357,17.93,1003,28.3,78.56
1,22,13,417,17.37,1007,28.5,78.12
1,22,13,775,19.72,991,28.6,77.60000000000001
1,22,14,957,24.16,957,28.6,78.37
1,22,14,904,29.76,904,28.6,78.29
1,22,15,829,35.980000000000004,829,28.5,79.82000000000001
1,22,15,743,42.54,743,28.4,80.28
1,22,16,646,49.31,646,28.3,82.56
1,22,16,535,56.2,535,28.1,83.52
1,22,17,417,63.17,417,27.9,87.21000000000001
1,22,17,294,70.18,294,27.6,88.74
1,22,18,173,77.21000000000001,173,27.4,89.85000000000001
1,22,18,64,84.2,64,27.1,91.52
1,23,6,0,101.12,0,25.5,97.74
1,23,6,0,94.08,0,25.5,97.74
1,23,7,8,86.8,32,25.4,97.87
1,23,7,34,79.86,130,25.5,97.3
1,23,8,36,72.83,249,25.5,97.37
1,23,8,224,65.8,373,25.5,97.37
1,23,9,355,58.8,493,25.5,96.72
1,23,9,339,51.870000000000005,607,25.5,96.72
1,23,10,221,45.03,712,25.4,95.84
1,23,10,194,38.36,803,25.5,95.28
1,23,11,585,31.96,880,25.6,93.6
1,23,11,686,26.05,941,25.8,92.41
1,23,12,233,21.04,983,26.0,90.24
1,23,12,368,17.73,1006,26.200000000000003,89.18
